ModelName,Architecture,Window,Dim,#Neg.samples,WordSim353_Spearman,WordSim353_OOV%,Win353_Spearman,Win353_OOV%,BATS_1,BATS_2,BATS_3,BATS_4,MeanScore
cbow_dim50_win5,cbow,5,50,5,0.5979041715099125,0.56657223796034,0.48925198131060177,0.56657223796034,0.5122,0.2856,0.0,0.3137254901960784,0.44251726110105594
cbow_dim50_win10,cbow,10,50,5,0.6547971314663382,0.56657223796034,0.5095954342460246,0.56657223796034,0.5014,0.3046,0.0,0.24836601307189543,0.4394270493213461
cbow_dim100_win5,cbow,5,100,5,0.6226627491227446,0.56657223796034,0.531710260057976,0.56657223796034,0.6068,0.384,0.0,0.37254901960784315,0.49008925403303394
cbow_dim100_win10,cbow,10,100,5,0.6809430952017274,0.56657223796034,0.5379743096536211,0.56657223796034,0.608,0.3682,0.0019801980198019802,0.45098039215686275,0.5064365487673899
cbow_dim300_win5,cbow,5,300,5,0.6320918131635972,0.56657223796034,0.539782869427448,0.56657223796034,0.6284,0.4286,0.0,0.40522875816993464,0.5080276832442429
cbow_dim300_win10,cbow,10,300,5,0.6810077538609043,0.56657223796034,0.5346269338684594,0.56657223796034,0.6292,0.4024,0.0,0.43137254901960786,0.511798315480715
skipgram_dim50_win5,skipgram,5,50,5,0.6563954213699021,0.56657223796034,0.512987212296617,0.56657223796034,0.5386,0.2782,0.0,0.24836601307189543,0.4416428883175258
skipgram_dim50_win10,skipgram,10,50,5,0.668606472785219,0.56657223796034,0.5100413994994448,0.56657223796034,0.4594,0.2652,0.0,0.30718954248366015,0.4368522464376654
skipgram_dim100_win5,skipgram,5,100,5,0.686840492178129,0.56657223796034,0.5333194259086028,0.56657223796034,0.5872,0.37,0.0,0.49673202614379086,0.5106686641978595
skipgram_dim100_win10,skipgram,10,100,5,0.6997253256727676,0.56657223796034,0.5230588949100299,0.56657223796034,0.5524,0.3294,0.0,0.4117647058823529,0.4841594693622919
skipgram_dim300_win5,skipgram,5,300,5,0.6828746685802769,0.56657223796034,0.5475969743578653,0.56657223796034,0.5888,0.4044,0.013861386138613862,0.5359477124183006,0.5263741533376642
skipgram_dim300_win10,skipgram,10,300,5,0.7109481818720778,0.56657223796034,0.5396121982196985,0.56657223796034,0.5916,0.3758,0.005940594059405941,0.5163398692810458,0.5191601088977232
